matricule,CIN,nom,prenom,email
5945.63,1996-06-25,Carvey,Tersina,Carvey.Tersina@yopmail.com
8595.15,2009-03-04,Allina,Esmeralda,Allina.Esmeralda@yopmail.com
9076.34,1931-10-23,Mendez,Elyssa,Mendez.Elyssa@yopmail.com
2685.23,1992-08-07,Silvan,Amii,Silvan.Amii@yopmail.com
2438.18,1913-07-09,My,Lorenza,My.Lorenza@yopmail.com
2184.41,1915-06-29,Oriana,Nicoli,Oriana.Nicoli@yopmail.com
4501.62,1909-04-19,Bakerman,Marline,Bakerman.Marline@yopmail.com
6174.41,1998-07-05,Dyche,Caressa,Dyche.Caressa@yopmail.com
1493.54,1938-08-12,Plato,Maisey,Plato.Maisey@yopmail.com
1261.83,1949-07-20,Casimir,Tamqrah,Casimir.Tamqrah@yopmail.com
